repo_name,lexical_token,framework_frontend,framework_backend,languages_frontend,languages_backend,language_framework_details,domain_industry,commercial_usage_summary,security_scrubbing_confirmation,full_git_history,repo_rating_score,first_commit_date,last_commit_date,languages_percentage_bytes(>5%),frameworks_percentage_bytes(>5%),development_span_months,commits_per_month,unique_contributors,all_contributors_count,all_contributors,total_pr_count,open_pr_count,closed_pr_count,merged_pr_count,github_pr_analysis_available
AgriShare,30746,React,Express,CSS|HTML|JavaScript,,"package.json:react,next,express|code_imports:React,Express",Unknown,Restrictive,Review Required (2),True,2.45,2025-08-03,2025-08-11,JavaScript (55.6%) | CSS (44.1%),Next.js (79.1%) | React (16.1%),0.3,23.3 commits/mo,2,2,"Yogesh Saini, Yogesh Saini",0,0,0,0,True
AI-Assisted-Code-Migration-Tool,4219,React,Express,CSS|HTML|JavaScript,,"package.json:react,express|code_imports:React,Express",Unknown,Restrictive,Clean,True,1.53,2026-01-17,2026-01-18,JavaScript (68.6%) | CSS (23.4%) | HTML (8.0%),React (68.3%) | Express (31.7%),0.0,0 commits/mo,2,2,"Saini-Yogesh, Yogesh Saini",0,0,0,0,True
Amazon-clone,0,,,CSS|HTML,,,Unknown,Restrictive,Clean,True,1.96,2024-01-27,2024-04-09,HTML (62.0%) | CSS (38.0%),None Detected,2.4,6.2 commits/mo,2,2,"yogesh saini, Yogesh Saini",0,0,0,0,True
API-Routes,5921,React,,CSS|JavaScript,,"code_imports:React,Next.js",Unknown,Restrictive,Review Required (1),True,1.32,2024-10-08,2024-10-21,JavaScript (96.1%),Next.js (68.4%) | React (31.6%),0.4,42.5 commits/mo,1,1,Yogesh Saini,0,0,0,0,True
AquaSense,13673,React,Express,CSS|HTML|JavaScript,Python,"package.json:react,express|code_imports:React,Express",Unknown,Restrictive,Clean,True,1.89,2025-11-03,2025-11-18,JavaScript (69.5%) | CSS (17.0%) | Python (11.1%),React (88.6%) | Express (9.4%),0.5,28.0 commits/mo,2,2,"Yogesh Saini, Yogesh Saini",0,0,0,0,True
asana-rl-seed-data,2907,,,,Python,,Unknown,Restrictive,Clean,True,1.0,2026-01-06,2026-01-06,Python (100.0%),None Detected,0.0,0 commits/mo,1,1,Saini-Yogesh,0,0,0,0,True
Assessment,1124,,,CSS|HTML|JavaScript,,,Unknown,Restrictive,Clean,True,0.97,2024-08-08,2024-08-08,JavaScript (47.7%) | CSS (32.4%) | HTML (19.9%),None Detected,0.0,0 commits/mo,1,1,Yogesh Saini,0,0,0,0,True
Assignment-1.O,3469,React,Express,CSS|HTML|JavaScript,,"package.json:react,express|code_imports:React,Express",Unknown,Restrictive,Clean,True,1.12,2025-01-20,2025-01-21,JavaScript (57.3%) | CSS (35.2%) | HTML (7.5%),React (57.7%) | Next.js (28.5%) | Express (13.8%),0.0,0 commits/mo,1,1,Yogesh Saini,0,0,0,0,True
Assignment-2.O-bot,1154,,Express,CSS|HTML|JavaScript,,package.json:express|code_imports:Express,Unknown,Restrictive,Clean,False,0.92,2025-01-20,2025-01-20,JavaScript (83.3%) | HTML (11.8%),Express (100.0%),0.0,0 commits/mo,1,1,Yogesh Saini,0,0,0,0,True
backand,1509,,Express,CSS|HTML|JavaScript,,package.json:express|code_imports:Express,Unknown,Restrictive,Clean,True,1.29,2024-10-10,2024-10-11,JavaScript (80.2%) | HTML (14.2%) | CSS (5.6%),Express (100.0%),0.0,0 commits/mo,1,1,Yogesh Saini,0,0,0,0,True
